Date,10/24/2022,10/25/2022,10/26/2022,10/27/2022,10/28/2022,10/29/2022,10/30/2022,10/31/2022,11/1/2022,11/2/2022,11/3/2022,11/4/2022,11/5/2022,11/6/2022,11/7/2022,11/8/2022,11/9/2022,11/10/2022,11/11/2022,11/12/2022,11/13/2022,11/14/2022,11/15/2022,11/16/2022,11/17/2022,11/18/2022,11/19/2022,11/20/2022,11/21/2022,11/22/2022,11/23/2022,11/24/2022,11/25/2022,11/26/2022,11/27/2022,11/28/2022,11/29/2022,11/30/2022,12/1/2022,12/2/2022,12/3/2022,12/4/2022,12/5/2022,12/6/2022,12/7/2022,12/8/2022,12/9/2022,12/10/2022,12/11/2022,12/12/2022,12/13/2022
,mg,,mg,,mg,,mg,,mg,,mg,,mg,,mg,,mg,,mg,,mg,,mg,,mg,,mg,,mg,,mg,,mg,,mg,,mg,,mg,,mg,,mg,,mg,,mg,,mg,mg,
5:00 AM,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,
6:00 AM,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,
7:00 AM,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,
8:00 AM,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,
9:00 AM,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,200 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,
10:00 AM,200 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,100 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,
11:00 AM,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,
12:00 PM,0 mg,0 mg,0 mg,200 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,100 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,
1:00 PM,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,
2:00 PM,0 mg,0 mg,100 mg,0 mg,0 mg,0 mg,0 mg,100 mg,0 mg,0 mg,100 mg,0 mg,0 mg,100 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,
3:00 PM,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,
4:00 PM,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,
5:00 PM,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,
6:00 PM,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg,
